"Date","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C3_Cancel.public.events.1","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","ConfirmedCases","ConfirmedDeaths","Cases_daily","Deaths_daily","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","driving","walking"
2021-09-15,3,2,2,2,3,0,2,2,2,1,1420343,14765,13801,144,-16,6,-39,-53,-24,8,50.53,37.14
2021-09-16,3,2,2,2,3,0,2,2,2,1,1434237,14953,13894,188,-17,5,-40,-54,-24,9,53.35,39.73
2021-09-17,3,2,2,2,3,0,2,2,2,1,1448792,15124,14555,171,-16,9,-39,-53,-24,9,68.43,48.24
2021-09-18,3,2,2,2,3,0,2,2,2,1,1462901,15246,14109,122,-16,6,-42,-52,-8,5,70.92,50.39
2021-09-19,3,2,2,2,3,0,2,2,2,1,1476477,15363,13576,117,-18,4,-37,-55,-12,6,60.07,41.71
2021-09-20,3,2,2,2,3,0,2,2,2,1,1489186,15469,12709,106,-15,9,-38,-52,-24,7,57.31,45.1
2021-09-21,3,2,2,2,3,0,2,2,2,1,1500105,15612,10919,143,-16,7,-40,-53,-25,7,61.05,49.88
2021-09-22,3,2,2,2,3,0,2,2,2,1,1511357,15753,11252,141,-16,4,-39,-52,-24,8,60.23,45.19
2021-09-23,3,2,2,2,3,0,2,2,2,1,1524613,15884,13256,131,-14,6,-38,-51,-23,7,68.91,47.41
2021-09-24,3,2,2,2,3,0,2,2,2,1,1537310,16016,12697,132,-17,6,-39,-57,-35,11,75.36,50.09
2021-09-25,3,2,2,2,3,0,2,2,2,1,1549285,16143,11975,127,-22,-1,-48,-54,-10,7,76.79,51.13
2021-09-26,3,2,2,2,3,0,2,2,2,1,1561638,16268,12353,125,-17,3,-40,-53,-12,6,68.74,44.54
2021-09-27,3,2,2,2,3,0,2,2,2,1,1571926,16369,10288,101,-13,7,-37,-50,-23,6,61.06,40.95
2021-09-28,3,2,2,2,3,0,2,2,2,1,1581415,16498,9489,129,-11,11,-36,-50,-24,6,59.85,40.89
2021-09-29,3,2,2,2,3,0,2,2,2,1,1591829,16620,10414,122,-11,9,-35,-50,-24,6,60.07,41.92
2021-09-30,3,2,2,2,3,0,2,2,2,1,1603475,16727,11646,107,-11,11,-36,-49,-22,6,62.38,41.78
2021-10-01,3,2,2,2,3,0,2,2,2,1,1615229,16850,11754,123,-7,22,-36,-48,-22,5,78.97,51.64
2021-10-02,3,2,2,2,3,0,2,2,2,1,1626604,16937,11375,87,-5,23,-39,-45,-5,2,85.21,54.86
2021-10-03,3,2,2,2,3,0,2,2,2,1,1637432,17014,10828,77,1,27,-27,-45,-9,1,72.17,47.44
2021-10-04,3,2,2,2,3,0,2,2,2,1,1647362,17111,9930,97,0,27,-29,-44,-20,3,62.45,43.27
2021-10-05,3,2,2,2,3,0,2,2,2,1,1657231,17203,9869,92,0,29,-30,-44,-22,3,62.26,42.45
2021-10-06,3,2,2,2,3,0,2,2,2,1,1678297,17418,21066,215,-3,24,-32,-45,-23,5,63.1,42.57
2021-10-07,3,2,2,2,3,0,2,2,2,1,1678297,17418,0,0,-3,22,-32,-45,-20,5,65.53,43.89
2021-10-08,3,2,2,2,3,0,2,2,2,1,1689437,17534,11140,116,-5,25,-32,-46,-19,5,84.66,53.86
2021-10-09,3,2,2,2,3,0,2,2,2,1,1700067,17607,10630,73,-3,24,-35,-43,-3,2,87.13,57.8
2021-10-10,3,2,2,2,3,0,2,2,2,1,1710884,17691,10817,84,1,27,-24,-44,-6,1,74.21,50.06
2021-10-11,3,2,2,2,3,0,2,2,2,1,1720919,17751,10035,60,-1,24,-28,-44,-20,4,67.1,44.81
2021-10-12,3,2,2,2,3,0,2,2,2,1,1730364,17835,9445,84,-1,24,-28,-44,-21,4,79.46,52.44
2021-10-13,3,2,2,2,3,0,2,2,2,1,1740428,17917,10064,82,6,27,-18,-50,-49,10,71.89,48.24
2021-10-14,3,2,2,2,3,0,2,2,2,1,1751704,18029,11276,112,-6,15,-31,-43,-20,5,74.73,46.81
2021-10-15,3,2,2,2,3,0,2,2,2,1,1762190,18123,10486,94,-7,19,-34,-46,-20,6,84.73,54.37
